Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,110.51000213623047,111.33000183105469,108.75,109.58000183105469,105.82530212402344,4171900
2023-01-04,111.01000213623047,111.94000244140625,110.3499984741211,111.20999908447266,107.39945983886719,4395500
2023-01-05,111.0999984741211,111.70999908447266,110.36000061035156,110.80000305175781,107.00350189208984,4896900
2023-01-06,112.0,112.73999786376953,110.20999908447266,112.33000183105469,108.48108673095703,3800400
2023-01-09,113.5199966430664,113.66999816894531,112.0199966430664,112.1500015258789,108.30725860595703,7277700
2023-01-10,112.5,114.08000183105469,112.31999969482422,113.8499984741211,109.94898223876953,5591700
2023-01-11,114.87000274658203,115.69000244140625,112.13999938964844,113.1500015258789,109.27297973632812,5350300
2023-01-12,111.98999786376953,112.38999938964844,110.88999938964844,111.36000061035156,108.03125,4697700
2023-01-13,111.2699966430664,113.88999938964844,111.19000244140625,113.51000213623047,110.11698150634766,5348700
2023-01-17,113.5,114.27999877929688,113.05999755859375,113.38999938964844,110.00056457519531,5711000
2023-01-18,113.20999908447266,113.58000183105469,111.19000244140625,111.51000213623047,108.17676544189453,4288500
2023-01-19,111.05999755859375,112.31999969482422,110.58999633789062,111.80000305175781,108.45809936523438,6157700
2023-01-20,112.19999694824219,113.04000091552734,111.6500015258789,112.81999969482422,109.44760131835938,5078300
2023-01-23,112.43000030517578,114.69999694824219,112.41999816894531,114.01000213623047,110.60203552246094,6115300
2023-01-24,112.86000061035156,113.66000366210938,112.27999877929688,112.52999877929688,109.16627502441406,4662000
2023-01-25,110.0,112.23999786376953,109.58999633789062,111.0,107.68201446533203,6070800
2023-01-26,111.25,111.62000274658203,110.11000061035156,111.06999969482422,107.74990844726562,4159500
2023-01-27,110.6500015258789,111.26000213623047,109.80999755859375,109.94999694824219,106.66338348388672,4860600
2023-01-30,109.80999755859375,110.66999816894531,109.62000274658203,109.80999755859375,106.52758026123047,4434800
2023-01-31,109.79000091552734,110.66000366210938,108.87000274658203,110.55000305175781,107.24546813964844,5698300
2023-02-01,110.77999877929688,112.08999633789062,109.66999816894531,111.81999969482422,108.47748565673828,4532300
2023-02-02,111.27999877929688,112.37000274658203,110.88999938964844,112.25,108.89464569091797,5051800
2023-02-03,111.80999755859375,112.33000183105469,110.66000366210938,111.79000091552734,108.44839477539062,3754500
2023-02-06,111.56999969482422,111.69000244140625,110.45999908447266,110.75,107.4394760131836,4145600
2023-02-07,110.04000091552734,112.41000366210938,109.87999725341797,111.98999786376953,108.64241027832031,3401600
2023-02-08,111.4000015258789,111.87000274658203,109.75,110.19999694824219,106.9059066772461,4222300
2023-02-09,110.69000244140625,111.2699966430664,107.51000213623047,108.06999969482422,104.83959197998047,3912700
2023-02-10,108.26000213623047,108.9000015258789,107.80000305175781,108.16000366210938,104.92691040039062,4186300
2023-02-13,108.31999969482422,109.13999938964844,107.7699966430664,108.5199966430664,105.27613067626953,3711000
2023-02-14,108.19000244140625,108.33999633789062,106.36000061035156,107.26000213623047,104.0538101196289,4244000
2023-02-15,106.76000213623047,107.30999755859375,106.27999877929688,107.27999877929688,104.07320404052734,4060300
2023-02-16,105.7699966430664,107.38999938964844,105.66999816894531,106.08000183105469,102.90908813476562,3299000
2023-02-17,105.54000091552734,106.95999908447266,105.48999786376953,106.73999786376953,103.5493392944336,3564100
2023-02-21,105.8499984741211,106.13999938964844,103.3499984741211,103.6500015258789,100.55171203613281,5204300
2023-02-22,103.23999786376953,103.8499984741211,100.5,102.69000244140625,99.62040710449219,8900900
2023-02-23,103.23999786376953,103.77999877929688,101.66000366210938,102.55000305175781,99.4845962524414,4611100
2023-02-24,101.44999694824219,101.80000305175781,99.88999938964844,100.45999908447266,97.45706176757812,5476800
2023-02-27,101.27999877929688,101.30999755859375,99.66000366210938,99.7699966430664,96.78768920898438,4489800
2023-02-28,99.83999633789062,102.41999816894531,99.69000244140625,101.72000122070312,98.67940521240234,7877000
2023-03-01,100.69999694824219,101.36000061035156,100.38999938964844,100.83000183105469,97.81600952148438,3963500
2023-03-02,100.2699966430664,102.9800033569336,100.2699966430664,102.62999725341797,99.56219482421875,5209900
2023-03-03,102.9000015258789,104.51000213623047,102.76000213623047,104.44999694824219,101.32778930664062,4982400
2023-03-06,104.51000213623047,104.5999984741211,102.62999725341797,102.75,99.67861938476562,5005100
2023-03-07,102.86000061035156,103.0999984741211,99.81999969482422,99.9800033569336,96.99141693115234,6349000
2023-03-08,99.91999816894531,100.2699966430664,99.26000213623047,99.4000015258789,96.42874908447266,6252600
2023-03-09,99.88999938964844,99.97000122070312,97.5,97.8499984741211,94.92508697509766,5146000
2023-03-10,97.76000213623047,98.4000015258789,96.55999755859375,96.95999908447266,94.06169128417969,7042400
2023-03-13,96.5999984741211,99.19999694824219,96.38999938964844,98.19000244140625,95.25492095947266,6553000
2023-03-14,99.27999877929688,99.5,97.33999633789062,98.55000305175781,95.60415649414062,5093900
2023-03-15,97.5,97.94000244140625,96.69999694824219,97.80000305175781,94.87657928466797,5712100
2023-03-16,97.05999755859375,99.27999877929688,97.0,99.02999877929688,96.06980895996094,5289100
2023-03-17,99.01000213623047,99.19999694824219,96.51000213623047,97.01000213623047,94.11019897460938,10848100
2023-03-20,97.26000213623047,98.19999694824219,97.18000030517578,97.87000274658203,94.94448852539062,6075700
2023-03-21,98.16999816894531,98.41000366210938,97.29000091552734,98.33000183105469,95.39073181152344,4475000
2023-03-22,98.61000061035156,99.30999755859375,96.83999633789062,96.86000061035156,93.96467590332031,3606700
2023-03-23,96.9000015258789,97.80999755859375,96.44000244140625,97.04000091552734,94.13929748535156,4525000
2023-03-24,97.04000091552734,98.08000183105469,96.80999755859375,98.05000305175781,95.11911010742188,5269100
2023-03-27,99.0,99.4800033569336,98.2699966430664,98.45999908447266,95.51685333251953,4627700
2023-03-28,98.0999984741211,98.23999786376953,96.61000061035156,97.11000061035156,94.20720672607422,4815400
2023-03-29,98.01000213623047,98.73999786376953,97.25,98.62000274658203,95.67206573486328,6780200
2023-03-30,99.37999725341797,99.4800033569336,98.51000213623047,99.08000183105469,96.11832427978516,5199300
2023-03-31,99.91999816894531,101.41000366210938,99.7300033569336,101.26000213623047,98.233154296875,6442400
2023-04-03,100.80000305175781,101.66000366210938,100.04000091552734,101.58999633789062,98.55328369140625,5432400
2023-04-04,101.9000015258789,103.33999633789062,101.83000183105469,102.80000305175781,99.72712707519531,7979000
2023-04-05,102.62999725341797,104.29000091552734,102.5,104.20999908447266,101.09496307373047,7298300
2023-04-06,104.48999786376953,105.55000305175781,104.18000030517578,104.93000030517578,101.79345703125,5065000
